Country,Model,RMSE,MAE,MAPE
Bangladesh,"ARIMA(2, 1, 1)",1.283902251505252,1.078431905530656,20.23287229982001
Bangladesh,RandomForest,1.6611489785818958,1.5108775836546506,24.386120326467093
Bangladesh,Holt,1.7609311898264421,1.1597093217447352,25.15666840119215
Bangladesh,XGBoost,2.0573362091614285,1.7179739930774076,24.965175288147226
Brazil,XGBoost,2.990380644067641,1.980323711396121,73.427552175503
Brazil,"ARIMA(0, 1, 1)",2.9944805895471056,2.780132670201103,102.52455736860136
Brazil,RandomForest,3.195395153881249,2.300807147120581,81.77802845266808
Brazil,Holt,3.6940455288659986,3.3721502046315166,127.10939731636893
China,RandomForest,2.298467528151353,1.7622155601072635,47.73241502108366
China,XGBoost,2.9761063085888617,2.2109591052126683,58.06484841276182
China,"ARIMA(1, 1, 1)",3.9900727237637854,3.4152476506462848,90.41375860803517
China,Holt,4.965338441920732,4.5571280501994575,113.18902196533935
Germany,Holt,2.2029731647604387,1.6314819552072914,93.45600021634861
Germany,"ARIMA(0, 1, 2)",2.327822532819227,1.620471067652393,140.95086562449893
Germany,RandomForest,2.341497889413541,1.4747430910403239,113.61189918646461
Germany,XGBoost,2.5082564665333402,1.626551676637166,108.28806990258066
India,"ARIMA(0, 1, 1)",4.7596030577530515,2.9651477616811155,47.894872357202445
India,Holt,5.144946184166219,2.9678727252381587,52.146742677396766
India,RandomForest,5.190903215812531,3.8671114724538236,58.216905525406666
India,XGBoost,5.269751046886428,3.9782971718251874,59.0481505519347
Kenya,"ARIMA(2, 1, 1)",2.216553654646811,1.572041120835892,234.9431328725049
Kenya,Holt,2.3106616971298166,1.534403707626502,288.04814736931877
Kenya,RandomForest,2.9694613057316657,2.241004747997851,284.216441809179
Kenya,XGBoost,3.4784043552261115,2.8109484827486195,333.7388229916256
Nigeria,Holt,2.955208961313249,2.302782416015287,149.05208204562382
Nigeria,"ARIMA(0, 1, 1)",3.7505097196135098,3.1885759956984625,198.41007847887394
Nigeria,RandomForest,4.122658719960565,3.033882060602392,187.73237795375178
Nigeria,XGBoost,5.136693561706655,3.752914110782744,217.06377576799724
United States,Holt,2.119676143272895,1.4232102975325893,48.20645998031744
United States,"ARIMA(0, 0, 1)",2.136417980162104,1.2917523201389405,47.64350767824253
United States,RandomForest,2.8166730637218373,2.18020718764556,76.28789280144098
United States,XGBoost,3.18391049513159,2.3668521300682515,81.1597206706343
